,orig_pr_group,pr_group,orig_ref_pattern,ref_pattern,prod_file,test_location,comment,fauthor_comment,url,title_mask,java_files_count
124,,incl_ref_for_test,,extract_method_for_invocation,scheduler/src/org/pentaho/platform/scheduler2/email/Emailer.java,https://github.com/pentaho/pentaho-platform/pull/1913/files?diff=split&w=1#diff-87cb133a4d1fe4f35a02b9a942ff60119136d0f24ceb641d9f1860953caf5628R23,getTo method is extracted and used in test (however it is not used in the prod class itself so the refactoring here is useless),I missed it,https://github.com/pentaho/pentaho-platform/pull/1913/files?diff=split&w=1,Inject,2.0
125,,incl_ref_for_test,,extract_method_for_invocation,scheduler/src/org/pentaho/platform/scheduler2/email/Emailer.java,https://github.com/pentaho/pentaho-platform/pull/1913/files?diff=split&w=1#diff-87cb133a4d1fe4f35a02b9a942ff60119136d0f24ceb641d9f1860953caf5628R24,getCc method is extracted and used in test (however it is not used in the prod class itself so the refactoring here is useless),I missed it,https://github.com/pentaho/pentaho-platform/pull/1913/files?diff=split&w=1,,
126,,incl_ref_for_test,,extract_method_for_invocation,scheduler/src/org/pentaho/platform/scheduler2/email/Emailer.java,https://github.com/pentaho/pentaho-platform/pull/1913/files?diff=split&w=1#diff-87cb133a4d1fe4f35a02b9a942ff60119136d0f24ceb641d9f1860953caf5628R25,getBcc method is extracted and used in test (however it is not used in the prod class itself so the refactoring here is useless),I missed it,https://github.com/pentaho/pentaho-platform/pull/1913/files?diff=split&w=1,,
127,,irrelevant,,,,,only new code,,https://github.com/GoogleCloudPlatform/cloud-opensource-java/pull/1466/files?diff=split&w=1,Dependency,2.0
128,,irrelevant,,,,,parameter is removed from constructor,,https://github.com/CloudSlang/score/pull/216/files?diff=split&w=1,Dependency,3.0
129,,irrelevant,,,,,functional changes and new test added but they are not related to testability changes,,https://github.com/apache/shardingsphere/pull/1662/files?diff=split&w=1,test,5.0
130,,,,,,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/342/files?diff=split&w=1,testability_body,15.0
131,,,,,,,,,https://github.com/oracle/weblogic-kubernetes-operator/pull/322/files?diff=split&w=1,Refactor for test,9.0
132,,irrelevant,,,,,only new code,,https://github.com/molgenis/molgenis/pull/2329/files?diff=split&w=1,Other,2.0
133,,irrelevant,,,,,only one rename as refactoring. rest are new features plus tests,,https://github.com/dropwizard/dropwizard/pull/2741/files?diff=split&w=1,Other,4.0
134,,irrelevant,,,,,no refactorings only new and updated features,,https://github.com/scijava/scijava-common/pull/332/files?diff=split&w=1,Singleton,3.0
135,,only_ref_for_test,,other,core/src/test/java/io/grpc/internal/FakeClock.java,https://github.com/grpc/grpc-java/pull/2452/files?diff=split&w=1#diff-9fd6c792c02213ae2b107b0c7d9ead5b30bf31119fecaa53954aab46bdfb0949R156,"unsure: goal of changed is to make FakeClock more thread-safe, could be seen as a refactoring to improve testability","I disagree, it is not really refactoring but rather a fix. take-mine",https://github.com/grpc/grpc-java/pull/2452/files?diff=split&w=1,Concurrency,2.0
136,,irrelevant,,,,,"new feature / improvement, no refactorings",,https://github.com/grpc/grpc-java/pull/5723/files?diff=split&w=1,Concurrency,4.0
137,,incl_ref_for_test,,extract_method_for_override,heron/schedulers/src/java/com/twitter/heron/scheduler/local/LocalScheduler.java,https://github.com/apache/incubator-heron/pull/536/files#diff-a053ee8dc2fc86c17a5f5a900a7b1d0de8763658f4068b603c3779e85c28a83aR82, startExecutorProcess is extracted from startExecutor to be mocked in the test,I missed it,https://github.com/apache/incubator-heron/pull/536/files?diff=split&w=1,test,5.0
138,,incl_ref_for_test,,extract_method_for_override,heron/schedulers/src/java/com/twitter/heron/scheduler/local/LocalScheduler.java,https://github.com/apache/incubator-heron/pull/536/files#diff-a053ee8dc2fc86c17a5f5a900a7b1d0de8763658f4068b603c3779e85c28a83aR83, startExecutorMonitor is extracted from startExecutor to be mocked in the test,I missed it,https://github.com/apache/incubator-heron/pull/536/files?diff=split&w=1,,
139,,incl_ref_for_test,,extract_method_for_invocation,heron/schedulers/src/java/com/twitter/heron/scheduler/local/LocalScheduler.java,https://github.com/apache/incubator-heron/pull/536/files#diff-a053ee8dc2fc86c17a5f5a900a7b1d0de8763658f4068b603c3779e85c28a83aR77,onSchedule is extracted from initialize to be tested separately,I agree,https://github.com/apache/incubator-heron/pull/536/files?diff=split&w=1,,
140,,,,,,,,,https://github.com/jmxtrans/jmxtrans/pull/291/files?diff=split&w=1,test,4.0
141,,irrelevant,,,,,simplification oriented refactoring together with additional test cases,,https://github.com/checkstyle/checkstyle/pull/1462/files?diff=split&w=1,Refactor for test,4.0
142,,irrelevant,,,,,contains no functional changes but removes one test,,https://github.com/OpenGamma/Strata/pull/702/files?diff=split&w=1,Other,9.0
143,,,,,,,,,https://github.com/apache/bookkeeper/pull/108/files?diff=split&w=1,testability_body,8.0
144,,only_ref_for_test,,other,plugins/com.google.cloud.tools.eclipse.appengine.newproject.maven/src/com/google/cloud/tools/eclipse/appengine/newproject/maven/MavenAppEngineStandardWizardPage.java,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/1969/files?diff=split&w=1#diff-eeb575b530450ac30e8b3cc876ee53da8e03b9a77da6c8765e4f885e85f68da8R129,visibility of parameters useDefaults and locationField tightened and replaced with specific getters in test classes ,borderline: getter is can be considered widening the access too. take-mine,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/1969/files?diff=split&w=1,test,4.0
145,,only_ref_for_test,,other,plugins/com.google.cloud.tools.eclipse.appengine.newproject.maven/src/com/google/cloud/tools/eclipse/appengine/newproject/maven/MavenAppEngineStandardWizardPage.java,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/1969/files?diff=split&w=1#diff-9de1760c3fed0892101b89c8baff3f709c9d220a27b738badcfbab99e0971e09R166,visibility of parameters groupIdField and javaPackageField tightened and replaced with specific getters in test classes ,borderline: getter is can be considered widening the access too. take-mine,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/1969/files?diff=split&w=1,,
146,,,,,,,,,https://github.com/kiegroup/drools-wb/pull/203/files?diff=split&w=1,Refactor for test,9.0
147,,irrelevant,,,,,only new code,,https://github.com/asakusafw/asakusafw/pull/824/files?diff=split&w=1,test,2.0
148,,irrelevant,,,,,only minor testability unrelated changes and tests added,,https://github.com/ConsenSys/tessera/pull/200/files?diff=split&w=1,Network,2.0
149,,irrelevant,,,,,only new code,,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/1862/files?diff=split&w=1,Dependency,2.0
150,,irrelevant,,,,,only minor testability unrelated changes and test added,,https://github.com/TestFX/TestFX/pull/100/files?diff=split&w=1,Refactor for test,3.0
151,,irrelevant,,,,,new features and tests with minor functional changes,,https://github.com/tmobile/pacbot/pull/275/files?diff=split&w=1,Other,7.0
152,,irrelevant,,,,,new feature added,,https://github.com/spring-projects/spring-framework/pull/1116/files?diff=split&w=1,Inject,2.0
153,,irrelevant,,,,,only functional changes and test added,,https://github.com/pinpoint-apm/pinpoint/pull/231/files?diff=split&w=1,Concurrency,3.0
154,,irrelevant,,,,,only new code and changes to log statements,,https://github.com/zsmartsystems/com.zsmartsystems.zigbee/pull/820/files?diff=split&w=1,Network,3.0
155,,irrelevant,,,,,only minor functional changes and new tests added,,https://github.com/castorini/anserini/pull/899/files?diff=split&w=1,Refactor for test,4.0
156,,irrelevant,,,,,new feature in form of reset method added together with testability unrelated refactorings,,https://github.com/CorfuDB/CorfuDB/pull/1052/files?diff=split&w=1,Other,7.0
157,,irrelevant,,,,,unsure: new parameter to invoke and message methods added but apparently not called in test (this observation is likely wrong),,https://github.com/Atmosphere/atmosphere/pull/1221/files?diff=split&w=1,Inject,4.0
158,,irrelevant,,,,,only new code added,,https://github.com/GoogleCloudPlatform/appengine-plugins-core/pull/314/files?diff=split&w=1,test,2.0
159,,irrelevant,,,,,only new code added,,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/163/files?diff=split&w=1,Inject,4.0
160,,irrelevant,,,,,only new code added,,https://github.com/GoogleCloudPlatform/appengine-plugins-core/pull/314,test,2.0
161,,irrelevant,,,,,only new code added,,https://github.com/Adobe-Consulting-Services/acs-aem-commons/pull/163,Inject,4.0
