,orig_pr_group,pr_group,orig_ref_pattern,ref_pattern,fauthor_comment,prod_file,test_location,comment,url,title_mask,java_files_count,Unnamed: 11
18,incl_ref_for_test,incl_ref_for_test,extract_class_for_invocation,extract_class_for_invocation,,collect_app/src/androidTest/java/org/odk/collect/android/support/CallbackCountingTaskExecutorRule.java,https://github.com/getodk/collect/pull/3886/files?diff=split&w=1#diff-4453636ee4ffb93893c341137bfbc2f2f060a26c78a37e695576be044c8d4dd1R30,"New, more flexible class that is also used during testing; note: I assume that one can also apply this ref_pattern to the new CountingScheduler class",https://github.com/getodk/collect/pull/3886/files?diff=split&w=1,testability_body,64.0,"It's really hard to understand all aspect of this PR; It's certainly too big and confusing for an outsider to understand all the code within ~20min. Hence, I might have missed one/several patterns."
19,incl_ref_for_test,incl_ref_for_test,extract_class_for_invocation,extract_class_for_invocation,,src/main/java/com/nike/cerberus/auth/connector/onelogin/OneLoginAuthConnector.java,https://github.com/Nike-Inc/cerberus/pull/23/files#diff-1451ab69a06229b2ebc2fd83622963bbf95bd6faa762b7c098286defd3a21076R21,Splits a class into two for improved testability,https://github.com/Nike-Inc/cerberus/pull/23/files?diff=split&w=1,testability_body,11.0,
20,irrelevant,irrelevant,,,,,,Only improved unit tests,https://github.com/Alluxio/alluxio/pull/2352/files?diff=split&w=1,test,2.0,
21,irrelevant,irrelevant,,,,,,No test-related changes,https://github.com/ISISComputingGroup/ibex_gui/pull/650/files?diff=split&w=1,testability_body,13.0,
22,irrelevant,irrelevant,,,,,,Only added code,https://github.com/broadinstitute/picard/pull/732/files?diff=split&w=1,Other,4.0,
23,irrelevant,irrelevant,,,"I marked initially as extract_class_for_invocation TestResultHandler, but it is strictly not a refactoring",,,Only new tests for new code,https://github.com/dbfit/dbfit/pull/163/files?diff=split&w=1,testability_body,37.0,
24,only_ref_for_test,only_ref_for_test,extract_method_for_invocation,extract_method_for_invocation,,dhis-2/dhis-api/src/main/java/org/hisp/dhis/period/PeriodType.java,https://github.com/dhis2/dhis2-core/pull/1943/files#diff-b9a2fff01cc9cc92d64d4724f0202f72101142947638267e33acc4ec200ee8fbR97,Code was extracted to PeriodType class to improve testability,https://github.com/dhis2/dhis2-core/pull/1943/files?diff=split&w=1,testability,3.0,
25,incl_ref_for_test,incl_ref_for_test,extract_method_for_override,extract_method_for_override,,src/main/java/com/relayrides/pushy/apns/PushManager.java,https://github.com/jchambers/pushy/pull/43/files#diff-d8d4d0360449e723dcea0539c99f4a9204ce7580708232190f21a5bfcfa3ffadR197,Instance creation is extracted to createClientThread method. This method gets overriden in the unit test.,https://github.com/jchambers/pushy/pull/43/files?diff=split&w=1,Concurrency,2.0,
26,incl_ref_for_test,irrelevant,other,other,"Indeed, it is rather internal refactoring and doesn't improve testability",modules/core-api/src/main/java/com/enonic/xp/schema/content/validator/InputValidator.java,,Unsure: the public validate method is often used in the new unit tests and got 'simplified' in the InputValidator class. But I'm not sure if this is really refactoring for testability since you could have called the same method before the change.,https://github.com/enonic/xp/pull/1530/files?diff=split&w=1,Refactor for test,9.0,
27,irrelevant,irrelevant,,,,,,No test-related changes,https://github.com/getodk/collect/pull/1484/files?diff=split&w=1,testability_body,5.0,
28,irrelevant,irrelevant,,,,,,Only added code,https://github.com/yahoo/athenz/pull/46/files?diff=split&w=1,Other,4.0,
29,irrelevant,irrelevant,,,,,,Many test cases were deleted; I guess they became obsolete due to the new 'Listener' methods,https://github.com/optimizely/android-sdk/pull/189/files?diff=split&w=1,Refactor for test,4.0,
30,irrelevant,irrelevant,,,,,,Only deletions,https://github.com/hazelcast/hazelcast-simulator/pull/1625/files?diff=split&w=1,Inject,6.0,
31,irrelevant,irrelevant,,,,,,No refactoring for testability,https://github.com/neo4j-contrib/neo4j-apoc-procedures/pull/1348/files?diff=split&w=1,Other,3.0,
32,only_ref_for_test,only_ref_for_test,add_constructor_param,add_constructor_param,,metrics-graphite/src/main/java/com/yammer/metrics/reporting/GraphiteReporter.java,https://github.com/dropwizard/metrics/pull/116/files#diff-d9a09c3f1b53a8f756911eb0a400d67c59c687791c096cf626b1e2a1b4be74aaR31,SocketProvider in the constructor to inject a mock object during unit tests,https://github.com/dropwizard/metrics/pull/116/files?diff=split&w=1,testability,3.0,
33,only_ref_for_test,only_ref_for_test,override_system_time,override_system_time,I missed it,metrics-graphite/src/main/java/com/yammer/metrics/reporting/GraphiteReporter.java,https://github.com/dropwizard/metrics/pull/116/files#diff-d9a09c3f1b53a8f756911eb0a400d67c59c687791c096cf626b1e2a1b4be74aaR37,Clock in the constructor to set a fixed time during testing,https://github.com/dropwizard/metrics/pull/116/files?diff=split&w=1,testability,3.0,
34,irrelevant,irrelevant,,,,,,Only added code,https://github.com/palantir/atlasdb/pull/4265/files?diff=split&w=1,Other,2.0,
35,incl_ref_for_test,incl_ref_for_test,other,other,,src/main/java/hudson/plugins/jira/JiraSession.java,https://github.com/jenkinsci/jira-plugin/pull/63/files?diff=split&w=1#diff-8cb3a477c8b0c0da058908f2e82aec0721ff74774f5da6e612f5852d441ed1eaR92,Edit method parameter for easy testing,https://github.com/jenkinsci/jira-plugin/pull/63/files?diff=split&w=1,Refactor for test,3.0,
36,irrelevant,irrelevant,,,,,,Class was just renamed,https://github.com/pentaho/pentaho-platform/pull/1705/files?diff=split&w=1,Refactor for test,4.0,
37,irrelevant,irrelevant,,,,,,Unsure: The singleton simplifies the unit tests a bit; but I guess that this change was primarily made for testability,https://github.com/grpc/grpc-java/pull/6526/files?diff=split&w=1,Singleton,7.0,
38,irrelevant,irrelevant,,,,,,Only bug fixes,https://github.com/forcedotcom/SalesforceMobileSDK-Android/pull/818/files?diff=split&w=1,Refactor for test,2.0,
39,incl_ref_for_test,incl_ref_for_test,add_constructor_param,add_constructor_param,I used extract_class_for_invocation/SchemaManager,transport/transport-runtime/src/main/java/com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore.java,https://github.com/firebase/firebase-android-sdk/pull/575/files#diff-c799b7bd21c787536ccf81dc711a82efa061f8dda1896b94af3bc2f2d641ba97R67,"Unsure: Constructor of SQLiteEventStore is altered, so the unit test can inject a mock schema?",https://github.com/firebase/firebase-android-sdk/pull/575/files?diff=split&w=1,testability_body,27.0,
40,irrelevant,incl_ref_for_test,,extract_method_for_override,A very rare case of a testability PR with only added code because getFile is relevant,,,Only added code,https://github.com/apache/rocketmq/pull/198/files?diff=split&w=1,Other,3.0,
41,only_ref_for_test,only_ref_for_test,,extract_class_for_override,I also found extract_class_for_override isActivityAvailable,,,,https://github.com/getodk/collect/pull/1581/files?diff=split&w=1,,,
42,only_ref_for_test,only_ref_for_test,extract_method_for_invocation,extract_method_for_invocation,I missed it,collect_app/src/main/java/org/odk/collect/android/activities/BearingActivity.java,https://github.com/getodk/collect/pull/1581/files#diff-0d069a15315643fda966bba2c34be67f0c3a2bc515af3b1bbbb0c1da89644fdaR406,code extracted into formatDegrees method,https://github.com/getodk/collect/pull/1581/files?diff=split&w=1,testability_body,17.0,
43,irrelevant,irrelevant,,,,,,Only added code,https://github.com/yegor256/takes/pull/507/files?diff=split&w=1,test,2.0,
44,irrelevant,irrelevant,,,,,,Only added code,https://github.com/SonarSource/sonar-java/pull/2/files?diff=split&w=1,Other,4.0,
45,irrelevant,irrelevant,,,,,,Bug fixes + renaming of some attributes,https://github.com/apache/zeppelin/pull/558/files?diff=split&w=1,Network,5.0,
46,incl_ref_for_test,incl_ref_for_test,create_constructor,create_constructor,I missed it,implementations/micrometer-registry-new-relic/src/main/java/io/micrometer/newrelic/NewRelicMeterRegistry.java,https://github.com/micrometer-metrics/micrometer/pull/1647/files?diff=split&w=1#diff-99848e0181e4741172ce49a9ed1481a9dff9c631c3b771b69469ab27c8343eccR113,New constructor to provide a MockClientProvider during testing,https://github.com/micrometer-metrics/micrometer/pull/1647/files?diff=split&w=1,Other,6.0,
47,irrelevant,irrelevant,,,,,,Bug fix + new test,https://github.com/apache/storm/pull/2236/files?diff=split&w=1,Other,2.0,
48,only_ref_for_test,only_ref_for_test,create_constructor,create_constructor,I disagree that it affects testability,core_impl/src/main/java/com/google/instrumentation/trace/BinaryPropagationHandlerImpl.java,https://github.com/census-instrumentation/opencensus-java/pull/282/files#diff-493a2325e2a894e6ec3ab4fa9479794fdbecb334fb8d0720507d1d688853193bR44,Singleton is replaced with constructor,https://github.com/census-instrumentation/opencensus-java/pull/282/files?diff=split&w=1,Singleton,4.0,
49,irrelevant,irrelevant,,,,,,Only added code,https://github.com/reactor/reactor-core/pull/1148/files?diff=split&w=1,Concurrency,4.0,
50,only_ref_for_test,only_ref_for_test,extract_method_for_invocation,extract_method_for_invocation,I missed it,dspot/src/main/java/eu/stamp_project/utils/AmplificationHelper.java,https://github.com/STAMP-project/dspot/pull/899/files#diff-47411ff2dc1d41b639ddd57d010f29284c5ff552e155df86bf4e1add8b80bdaaR48,Code extracted to a new method to simplify the unit tests,https://github.com/STAMP-project/dspot/pull/899/files?diff=split&w=1,Refactor for test,3.0,
51,irrelevant,irrelevant,,,,,,Only deleted code,https://github.com/azkaban/azkaban/pull/1409/files?diff=split&w=1,Refactor for test,2.0,
52,irrelevant,irrelevant,,,,,,Only added code,https://github.com/seata/seata/pull/2759/files?diff=split&w=1,Concurrency,2.0,
53,incl_ref_for_test,irrelevant,extract_method_for_invocation,extract_method_for_invocation,I marked as irrelevant because setStore is not used in junits,components/camel-websocket/src/main/java/org/apache/camel/component/websocket/WebsocketProducer.java,https://github.com/STAMP-project/dspot/pull/899/files#diff-47411ff2dc1d41b639ddd57d010f29284c5ff552e155df86bf4e1add8b80bdaaR48,Unsure: Code is extracted to setStore method. But this method is not used in the two longer unit tests,https://github.com/apache/camel/pull/690/files?diff=split&w=1,Network,6.0,
54,irrelevant,irrelevant,,,,,,Mostly added code; the deleted isOverrideMethod method does not seem relevant for testing,https://github.com/checkstyle/checkstyle/pull/329/files?diff=split&w=1,Other,4.0,
55,only_ref_for_test,only_ref_for_test,extract_method_for_override,extract_method_for_override,,extensions/src/org/pentaho/platform/plugin/action/olap/impl/OlapServiceImpl.java,https://github.com/pentaho/pentaho-platform/pull/1449/files?diff=split&w=1#diff-307cfab7ed4f8c91d6d74df4ff65b3ad7743ec0815e0f7985f492b2a0c9c9fa7R117,New getXmlaExtra method that is overriden during the unit test,https://github.com/pentaho/pentaho-platform/pull/1449/files?diff=split&w=1,test,2.0,
56,incl_ref_for_test,incl_ref_for_test,extract_class_for_invocation,extract_class_for_invocation,I disagree and think this is rather internal refactoring that doesn't affect testability,sdk/mobile-center/src/main/java/com/microsoft/azure/mobile/utils/HandlerUtils.java,https://github.com/microsoft/appcenter-sdk-android/pull/297/files#diff-b6324d6929fff2911aa6fcddec270fe69632c9ceeccb52db4ac8da9e5c6c4c54R90,Queue of method calls is replaced by a method of the new HandlerUtils class,https://github.com/microsoft/appcenter-sdk-android/pull/297/files?diff=split&w=1,Concurrency,6.0,
57,only_ref_for_test,only_ref_for_test,extract_class_for_invocation,extract_class_for_invocation,I marked as too large for RfT,leader-election-impl/src/main/java/com/palantir/paxos/CoalescingSupplier.java,https://github.com/palantir/atlasdb/pull/1959/files#diff-69c9be5568ca21e97d89e0995c7a53b1e9105375c91c9dc4fecfe61905ca8e54R43,A big class is split into several classes to improve their testability,https://github.com/palantir/atlasdb/pull/1959/files?diff=split&w=1,testability_body,10.0,
58,irrelevant,irrelevant,,,,,,Only added code,https://github.com/hmcts/ethos-repl-docmosis-service/pull/78/files?diff=split&w=1,Inject,2.0,
59,only_ref_for_test,only_ref_for_test,widen_access_for_invocation,widen_access_for_invocation,,src/main/java/reactor/fn/tuple/Tuple1.java,none,"Multiple constructors were set to 'public' to testing; however, the unit tests are not parts of this PR",https://github.com/reactor/reactor-core/pull/9/files?diff=split&w=1,testability_body,9.0,
60,irrelevant,irrelevant,,,,,,Only bug fixes,https://github.com/freenet/fred/pull/390/files?diff=split&w=1,Dependency,2.0,
61,irrelevant,irrelevant,,,,,,Added code + unit test for new code,https://github.com/infinispan/infinispan/pull/2106/files?diff=split&w=1,Network,2.0,
62,irrelevant,irrelevant,,,,,,Only bug fixes,https://github.com/ome/openmicroscopy/pull/465/files?diff=split&w=1,testability_body,1.0,
63,irrelevant,irrelevant,,,,,,Bug fix + new unit test,https://github.com/eclipse/eclipse-collections/pull/764/files?diff=split&w=1,Inject,3.0,
64,irrelevant,irrelevant,,,,,,Only bug fixes,https://github.com/JabRef/jabref/pull/187/files?diff=split&w=1,Other,4.0,
65,irrelevant,irrelevant,,,,,,Small improvements + extended test cases,https://github.com/checkstyle/checkstyle/pull/1494/files?diff=split&w=1,Refactor for test,4.0,
66,irrelevant,irrelevant,,,,,,Unit tests for new class,https://github.com/atlasapi/atlas/pull/358/files?diff=split&w=1,Other,5.0,
67,only_ref_for_test,only_ref_for_test,extract_class_for_invocation,extract_class_for_invocation,"I disagree: BackendRegistry has been refactored, but it is rather internal refactoring",transport/transport-runtime/src/main/java/com/google/android/datatransport/runtime/backends/MetadataBackendRegistry.java,https://github.com/firebase/firebase-android-sdk/pull/347/files#diff-cf65307777dfed8932fff3089e8f1491e2483675d76e9fa7d5fa6b406078c1d2R37,A big class is split into several classes to improve their testability,https://github.com/firebase/firebase-android-sdk/pull/347/files?diff=split&w=1,testability,23.0,
68,irrelevant,irrelevant,,,,,,"Only refactoring, but not for testability",https://github.com/stripe/stripe-java/pull/934/files?diff=split&w=1,Network,5.0,
69,irrelevant,irrelevant,,,,,,Bug fix + new unit test,https://github.com/grpc/grpc-java/pull/5290/files?diff=split&w=1,Concurrency,2.0,
70,irrelevant,irrelevant,,,,,,Bug fix + new unit test,https://github.com/SmarterApp/RDW_Reporting/pull/1054/files?diff=split&w=1,Other,5.0,
71,irrelevant,irrelevant,,,,,,Refactoring + new unit tests; I guess that helper methods like 'isTimeAtEnd' were introduced in a previous PR.,https://github.com/rollerderby/scoreboard/pull/90/files?diff=split&w=1,testability_body,3.0,
72,irrelevant,irrelevant,,,,,,"Some improvements, but not for testability",https://github.com/checkstyle/checkstyle/pull/3587/files?diff=split&w=1,Concurrency,7.0,
73,irrelevant,irrelevant,,,,,,Unsure: parameter is added to DownloadReadyChecker and then called with a mock value in the unit test. But I guess that it is rather irrelevant.,https://github.com/novoda/download-manager/pull/127/files?diff=split&w=1,Dependency,7.0,
74,irrelevant,irrelevant,,,,,,Only bug fixes,https://github.com/radixdlt/radixdlt-java/pull/172/files?diff=split&w=1,Other,7.0,
75,irrelevant,irrelevant,,,,,,"Unsure: If any, then 'Other'; the unit tests get a bit simpler/more complex due to StartTask and StopTask",https://github.com/line/armeria/pull/1675/files?diff=split&w=1,Other,3.0,
76,irrelevant,irrelevant,,,,,,Only added code,https://github.com/tborzyszkowski/DesignPatterns/pull/180/files?diff=split&w=1,Singleton,2.0,
77,irrelevant,irrelevant,,,,,,Bug fix + new unit test,https://github.com/STAMP-project/dspot/pull/748/files?diff=split&w=1,Other,2.0,
78,,,,,,,,,https://github.com/Netflix/hollow/pull/219/files?diff=split&w=1,test,2.0,
79,,,,,,,,,https://github.com/GoogleCloudPlatform/cloud-opensource-java/pull/1239/files?diff=split&w=1,Dependency,8.0,
80,,,,,,,,,https://github.com/TheAlgorithms/Java/pull/643/files?diff=split&w=1,Refactor for test,2.0,
81,,,,,,,,,https://github.com/checkstyle/checkstyle/pull/1324/files?diff=split&w=1,testability,3.0,
82,,,,,,,,,https://github.com/OpenLiberty/open-liberty/pull/706/files?diff=split&w=1,Refactor for test,7.0,
83,,,,,,,,,https://github.com/molgenis/molgenis/pull/3192/files?diff=split&w=1,test,9.0,
84,,,,,,,,,https://github.com/hcoles/pitest/pull/633/files?diff=split&w=1,testability,3.0,
85,,,,,,,,,https://github.com/dhis2/dhis2-core/pull/4432/files?diff=split&w=1,testability_body,53.0,
86,,,,,,,,,https://github.com/pentaho/pentaho-data-refinery/pull/36/files?diff=split&w=1,Inject,3.0,
87,,,,,,,,,https://github.com/brettwooldridge/HikariCP/pull/1338/files?diff=split&w=1,Other,3.0,
88,,,,,,,,,https://github.com/qos-ch/slf4j/pull/86/files?diff=split&w=1,Concurrency,3.0,
89,,,,,,,,,https://github.com/hibernate/hibernate-validator/pull/615/files?diff=split&w=1,testability_body,1.0,
90,,,,,,,,,https://github.com/grpc/grpc-java/pull/5566/files?diff=split&w=1,Dependency,2.0,
91,,,,,,,,,https://github.com/pentaho/pentaho-kettle/pull/25/files?diff=split&w=1,testability_body,14.0,
92,,,,,,,,,https://github.com/reaktivity/nukleus-http.java/pull/92/files?diff=split&w=1,Concurrency,4.0,
93,,,,,,,,,https://github.com/pentaho/data-access/pull/348/files?diff=split&w=1,test,6.0,
